X,Y,observ,longitud,latitud,objectid,num_est,nom_est,id_trazado,long_est,ancho_est,area_est,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,cap_art,globalid,created_user,created_date,last_edited_user,last_edited_date
996531.1357,1007270.1501,Valores de capacidad de buses en proceso de actualización,-74.108772,4.66194444,645,06100,Avenida Rojas - UNISALESIANA,TZ016,177.17,3,531.51,1,1,4,CL 26 - KR 69 D,1,0,0,1,6100,120,3,200,{A0F3EA8E-C638-4AD7-8B63-19A8864839FB},,,,
999297.7853,1000213.933,Valores de capacidad de buses en proceso de actualización,-74.08383625,4.59813501,646,09109,Tercer Milenio,TZ001,184,3.5,644,1,3,4,CL 8 - CL 6,2,2,0,0,9109,120,3,200,{31D21176-1221-41E2-A9F2-17AEBB9B8EFB},,,,
999691.3399,1003293.8847,Valores de capacidad de buses en proceso de actualización,-74.08028966,4.62598737,647,06108,Concejo de Bogotá,TZ016,122.88,4,491.52,1,1,4,CL 38,1,1,0,0,6108,120,2,140,{3A6E594B-CC87-4005-BEBD-7C9EAE6BC2EA},,,,
994868.2174,999735.768200001,Valores de capacidad de buses en proceso de actualización,-74.12375508,4.59380944,648,07007,NQS - Calle 38A S,TZ010,153.95,4,615.8,1,1,4,Autosur - KR 39A,1,0,0,1,7007,72,2,140,{2290C749-E58E-4AAC-8A0B-0C9127ED60AE},,,,
999980.1899,1006755.9617,Valores de capacidad de buses en proceso de actualización,-74.07768646,4.65729528,649,07104,7 de Agosto,TZ008,123.23,4,492.92,1,1,4,KR 30 - CL 63,1,0,0,1,7104,120,2,140,{93BA0224-1276-4F2F-A308-DD35C17075EA},,,,
999638.1877,1009941.3334,Valores de capacidad de buses en proceso de actualización,-74.08076896,4.68610088,650,04104,AV. 68,TZ005,144,4,576,1,1,4,KR 68D,1,0,0,1,4104,144,2,152,{4EE92D50-A4EF-4F07-B528-F45164CC5EDF},,,,
996218.9404,1003499.9527,Valores de capacidad de buses en proceso de actualización,-74.11158411,4.62785005,651,05107,Distrito Grafiti,TZ009,115.715,3,347.145,1,1,4,Americas - KR 53A,1,0,0,1,5107,120,2,152,{E3B652CB-C75E-4D38-A421-42F86EBEE171},,,,
1001461.1601,1008178.87,Valores de capacidad de buses en proceso de actualización,-74.06433866,4.67016265,652,04108,Polo - FINCOMERCIO,TZ005,220,4,880,1,1,4,TV 27,1,0,0,1,4108,168,3,192,{FFD89458-4A42-48A5-A015-BC2A8A44445B},,,,
998751.2769,1000396.6416,Valores de capacidad de buses en proceso de actualización,-74.08876139,4.5997872,653,07200,Tygua - San José,TZ007,121.67,4,486.68,1,1,4,KR 18,2,2,0,0,7200,96,2,132,{5BE7C3B8-DAB4-48C5-9735-1BC75AFEFF70},,,,
998266.3619,1004567.3779,Valores de capacidad de buses en proceso de actualización,-74.09313226,4.63750353,654,06105,Quinta Paredes,TZ016,96.49,3,289.47,1,1,4,KR 47,1,0,0,1,6105,120,2,140,{2F1D2C49-88FE-4C4C-A524-365F4CA41A47},,,,
